journal,specialty
Academic emergency medicine : official journal of the Society for Academic and Emergency Medicine,Emergency Medicine
Acta biomaterialia,Biomedical Technology
Acta neuropathologica,Pathology
"Addiction (Abingdon, England)",Addiction
Addictive behaviors,Addiction
Advanced drug delivery reviews,Pharmacology and Pharmacy
Aesthetic surgery journal,Plastic and Reconstructive Surgery
"AIDS (London, England)",AIDS and HIV
AIDS and behavior,AIDS and HIV
Alzheimer's & dementia : the journal of the Alzheimer's Association,Gerontology and Geriatric Medicine
American family physician,Primary Health Care
American journal of human genetics,Genetics and Genomics
American journal of obstetrics and gynecology,Gynecology and Obstetrics
American journal of ophthalmology,Ophthalmology and Optometry
American journal of preventive medicine,Public Health
American journal of public health,Public Health
American journal of respiratory and critical care medicine,Pulmonology
American journal of speech-language pathology,"Audiology, Speech, and Language Pathology"
American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Transplantation
Anaesthesia,Anesthesiology
Anesthesiology,Anesthesiology
Animals : an open access journal from MDPI,Veterinary Medicine
Annals of cardiothoracic surgery,Heart and Thoracic Surgery
Annals of emergency medicine,Emergency Medicine
Annals of family medicine,Primary Health Care
Annals of intensive care,Critical Care
Annals of oncology : official journal of the European Society for Medical and Oncology,Oncology
Annals of surgery,Surgery
Annals of the rheumatic diseases,Rheumatology
Archives of disease in childhood,Pregnancy and Childbirth
Archives of physical medicine and rehabilitation,Rehabilitation Therapy
"Arteriosclerosis, thrombosis, and vascular biology",Vascular Medicine
"Arthritis & rheumatology (Hoboken, N.J.)",Rheumatology
Autism : the international journal of research and practice,Child and Adolescent Psychology
Autism : the international journal of research and practice,Developmental Disabilities
Autism research : official journal of the International Society for Autism and Research,Developmental Disabilities
Autoimmunity reviews,Rheumatology
Biological psychiatry,Psychiatry
Biology of blood and marrow transplantation : journal of the American Society for and Blood and Marrow Transplantation,Transplantation
Blood,Hematology
Blood advances,Hematology
BMC complementary and alternative medicine,Alternative and Traditional Medicine
BMC complementary medicine and therapies,Alternative and Traditional Medicine
BMC family practice,Primary Health Care
BMC medical ethics,Bioethics
BMC palliative care,Hospice and Palliative Care
BMC pregnancy and childbirth,Pregnancy and Childbirth
BMC public health,Public Health
BMJ global health,Tropical Medicine and Parasitology
Bone marrow transplantation,Transplantation
British journal of anaesthesia,Anesthesiology
British journal of sports medicine,Physical Education and Sports Medicine
Cardiovascular diabetology,Vascular Medicine
Cell,Molecular Biology
Cell reports,Molecular Biology
"Cellular physiology and biochemistry : international journal of experimental and cellular physiology, biochemistry, and pharmacology",Physiology
Cephalalgia : an international journal of headache,Pain and Pain Management
Chest,Pulmonology
Circulation,Cardiology
Circulation research,Cardiology
Clinica chimica acta; international journal of clinical chemistry,Clinical Laboratory Science
Clinical biochemistry,Clinical Laboratory Science
Clinical cancer research : an official journal of the American Association for and Cancer Research,Oncology
Clinical chemistry,Clinical Laboratory Science
Clinical chemistry and laboratory medicine,Clinical Laboratory Science
Clinical infectious diseases : an official publication of the Infectious Diseases and Society of America,Communicable Diseases
"Clinical nutrition (Edinburgh, Scotland)",Nutrition Science
Clinical oral investigations,Dentistry
Clinical rehabilitation,Rehabilitation Therapy
"Critical care (London, England)",Critical Care
Critical care medicine,Critical Care
Critical reviews in clinical laboratory sciences,Clinical Laboratory Science
Critical reviews in food science and nutrition,Nutrition Science
Current medicinal chemistry,Medicinal Chemistry
"Cyberpsychology, behavior and social networking",Social Psychology
Diabetes & metabolic syndrome,Diabetes
Diabetes care,Diabetes
"Diabetes, obesity & metabolism",Diabetes
"Diabetes, obesity & metabolism",Obesity
Diabetologia,Diabetes
Disability and rehabilitation,Rehabilitation Therapy
Drug and alcohol dependence,Addiction
Drug discovery today,Medicinal Chemistry
Ear and hearing,"Audiology, Speech, and Language Pathology"
Ecotoxicology and environmental safety,Toxicology
Emerging infectious diseases,Communicable Diseases
Emerging infectious diseases,Epidemiology
Environmental health perspectives,Toxicology
Environmental research,Toxicology
Euro surveillance : bulletin Europeen sur les maladies transmissibles = European and communicable disease bulletin,Epidemiology
European heart journal,Cardiology
European journal of cardio-thoracic surgery : official journal of the European and Association for Cardio-thoracic Surgery,Heart and Thoracic Surgery
European journal of medicinal chemistry,Medicinal Chemistry
European journal of nuclear medicine and molecular imaging,"Nuclear Medicine, Radiotherapy, and Molecular Imaging"
European radiology,Radiology and Medical Imaging
European urology,Urology and Nephrology
Evidence-based complementary and alternative medicine : eCAM,Alternative and Traditional Medicine
Fertility and sterility,Reproductive Health
Food and chemical toxicology : an international journal published for the British and Industrial Biological Research Association,Toxicology
Frontiers in aging neuroscience,Gerontology and Geriatric Medicine
Frontiers in endocrinology,Endocrinology
Frontiers in immunology,Immunology
Frontiers in pediatrics,Pediatric Medicine
Frontiers in pharmacology,Pharmacology and Pharmacy
Frontiers in psychology,Psychology
Frontiers in veterinary science,Veterinary Medicine
Gastroenterology,Gastroenterology and Hepatology
Genome biology,Genetics and Genomics
Gut,Gastroenterology and Hepatology
Head & neck,Otolaryngology
Headache,Pain and Pain Management
"Hepatology (Baltimore, Md.)",Gastroenterology and Hepatology
"Human reproduction (Oxford, England)",Reproductive Health
Human reproduction update,Reproductive Health
"Hypertension (Dallas, Tex. : 1979)",Vascular Medicine
IEEE journal of biomedical and health informatics,Medical Informatics
IEEE transactions on bio-medical engineering,Biomedical Technology
IEEE transactions on medical imaging,Radiology and Medical Imaging
IEEE transactions on neural systems and rehabilitation engineering : a and publication of the IEEE Engineering in Medicine and Biology Society,Rehabilitation Therapy
Immunity,Immunology
Intensive care medicine,Critical Care
Interactive cardiovascular and thoracic surgery,Heart and Thoracic Surgery
International journal of audiology,"Audiology, Speech, and Language Pathology"
International journal of environmental research and public health,Public Health
International journal of epidemiology,Epidemiology
International journal of infectious diseases : IJID : official publication of the and International Society for Infectious Diseases,Communicable Diseases
International journal of nursing studies,Nursing
International journal of oral and maxillofacial surgery,Oral and Maxillofacial Surgery
"International journal of radiation oncology, biology, physics","Nuclear Medicine, Radiotherapy, and Molecular Imaging"
Investigative ophthalmology & visual science,Ophthalmology and Optometry
JACC. Cardiovascular imaging,Radiology and Medical Imaging
JAMA,Health and Medical Sciences (general)
JAMA dermatology,Dermatology
JAMA otolaryngology-- head & neck surgery,Otolaryngology
JAMA pediatrics,Pediatric Medicine
JAMA psychiatry,Psychiatry
JAMA surgery,Surgery
JMIR mHealth and uHealth,Medical Informatics
Journal of advanced nursing,Nursing
Journal of affective disorders,Psychiatry
Journal of Alzheimer's disease : JAD,Gerontology and Geriatric Medicine
Journal of autism and developmental disorders,Child and Adolescent Psychology
Journal of autism and developmental disorders,Developmental Disabilities
Journal of behavioral addictions,Addiction
Journal of bone and mineral research : the official journal of the American and Society for Bone and Mineral Research,Endocrinology
Journal of cellular physiology,Physiology
"Journal of child psychology and psychiatry, and allied disciplines",Child and Adolescent Psychology
Journal of clinical epidemiology,Epidemiology
Journal of clinical nursing,Nursing
Journal of clinical oncology : official journal of the American Society of and Clinical Oncology,Oncology
Journal of clinical periodontology,Dentistry
Journal of controlled release : official journal of the Controlled Release and Society,Pharmacology and Pharmacy
Journal of cranio-maxillo-facial surgery : official publication of the European and Association for Cranio-Maxillo-Facial Surgery,Oral and Maxillofacial Surgery
Journal of critical care,Critical Care
Journal of dental research,Dentistry
Journal of endodontics,Dentistry
Journal of ethnopharmacology,Natural Medicine and Medicinal Plants
Journal of general internal medicine,Primary Health Care
Journal of hematology & oncology,Hematology
Journal of hepatology,Gastroenterology and Hepatology
Journal of medical ethics,Bioethics
Journal of medical Internet research,Medical Informatics
Journal of medical virology,Communicable Diseases
Journal of medical virology,Virology
Journal of medicinal chemistry,Medicinal Chemistry
Journal of medicinal chemistry,Pharmacology and Pharmacy
Journal of neuroengineering and rehabilitation,Rehabilitation Therapy
Journal of neurosurgery,Neurosurgery
Journal of neurosurgery. Spine,Neurosurgery
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine","Nuclear Medicine, Radiotherapy, and Molecular Imaging"
Journal of oral and maxillofacial surgery : official journal of the American and Association of Oral and Maxillofacial Surgeons,Oral and Maxillofacial Surgery
Journal of pain and symptom management,Hospice and Palliative Care
Journal of pain and symptom management,Pain and Pain Management
Journal of palliative medicine,Hospice and Palliative Care
Journal of pediatric gastroenterology and nutrition,Pediatric Medicine
Journal of personality and social psychology,Social Psychology
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",Plastic and Reconstructive Surgery
Journal of the American Academy of Dermatology,Dermatology
Journal of the American College of Cardiology,Cardiology
Journal of the American Geriatrics Society,Gerontology and Geriatric Medicine
Journal of the American Heart Association,Vascular Medicine
Journal of the American Medical Informatics Association : JAMIA,Medical Informatics
Journal of the American Society of Nephrology : JASN,Urology and Nephrology
Journal of the European Academy of Dermatology and Venereology : JEADV,Dermatology
Journal of the International AIDS Society,AIDS and HIV
Journal of the mechanical behavior of biomedical materials,Biomedical Technology
Journal of thoracic oncology : official publication of the International and Association for the Study of Lung Cancer,Pulmonology
Journal of thrombosis and haemostasis : JTH,Hematology
Journal of vascular surgery,Surgery
Journal of veterinary internal medicine,Veterinary Medicine
Journal of voice : official journal of the Voice Foundation,"Audiology, Speech, and Language Pathology"
Kidney international,Urology and Nephrology
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",Orthopedic Medicine and Surgery
"Lancet (London, England)",Health and Medical Sciences (general)
Leukemia,Hematology
Maternal & child nutrition,Pregnancy and Childbirth
Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,Radiology and Medical Imaging
Medical physics,"Nuclear Medicine, Radiotherapy, and Molecular Imaging"
Medicine and science in sports and exercise,Physical Education and Sports Medicine
"Medicines (Basel, Switzerland)",Alternative and Traditional Medicine
MMWR. Morbidity and mortality weekly report,Epidemiology
"Modern pathology : an official journal of the United States and Canadian Academy and of Pathology, Inc",Pathology
Molecular autism,Developmental Disabilities
Molecular metabolism,Obesity
Molecular psychiatry,Psychiatry
Movement disorders : official journal of the Movement Disorder Society,Gerontology and Geriatric Medicine
Natural product reports,Medicinal Chemistry
Natural product reports,Natural Medicine and Medicinal Plants
Nature genetics,Genetics and Genomics
Nature medicine,Health and Medical Sciences (general)
Nature reviews. Cardiology,Cardiology
Nature reviews. Endocrinology,Endocrinology
Nature reviews. Gastroenterology & hepatology,Gastroenterology and Hepatology
Nature reviews. Genetics,Genetics and Genomics
Nature reviews. Molecular cell biology,Molecular Biology
Nature reviews. Nephrology,Urology and Nephrology
Nature reviews. Rheumatology,Rheumatology
NeuroImage,Neurology
Neurology,Neurology
Neuron,Neurology
Neurosurgery,Neurosurgery
Neurosurgical focus,Neurosurgery
NPJ digital medicine,Medical Informatics
Nucleic acids research,Molecular Biology
Nurse education today,Nursing
Nursing ethics,Bioethics
Nursing management,Nursing
Nutrients,Nutrition Science
"Obesity (Silver Spring, Md.)",Obesity
Obesity reviews : an official journal of the International Association for the and Study of Obesity,Obesity
Obstetrical & gynecological survey,Gynecology and Obstetrics
Obstetrics and gynecology,Gynecology and Obstetrics
Ophthalmology,Ophthalmology and Optometry
Otolaryngology--head and neck surgery : official journal of American Academy of and Otolaryngology-Head and Neck Surgery,Otolaryngology
Pain,Pain and Pain Management
Palliative medicine,Hospice and Palliative Care
Parasites & vectors,Tropical Medicine and Parasitology
Pediatrics,Pediatric Medicine
Personality & social psychology bulletin,Social Psychology
Personality and individual differences,Psychology
Personality and individual differences,Social Psychology
Plastic and reconstructive surgery,Plastic and Reconstructive Surgery
Plastic and reconstructive surgery. Global open,Plastic and Reconstructive Surgery
PLoS neglected tropical diseases,Tropical Medicine and Parasitology
PLoS pathogens,Virology
Proceedings of the National Academy of Sciences of the United States of America,Health and Medical Sciences (general)
Progress in retinal and eye research,Ophthalmology and Optometry
Psychological bulletin,Psychology
Radiology,Radiology and Medical Imaging
Radiotherapy and oncology : journal of the European Society for Therapeutic and Radiology and Oncology,"Nuclear Medicine, Radiotherapy, and Molecular Imaging"
Reproductive health,Reproductive Health
Research in developmental disabilities,Developmental Disabilities
Resuscitation,Emergency Medicine
"Rheumatology (Oxford, England)",Rheumatology
"Sports medicine (Auckland, N.Z.)",Physical Education and Sports Medicine
Stroke,Vascular Medicine
Supportive care in cancer : official journal of the Multinational Association of and Supportive Care in Cancer,Hospice and Palliative Care
Surgical endoscopy,Surgery
The American journal of bioethics : AJOB,Bioethics
The American journal of clinical nutrition,Nutrition Science
The American journal of emergency medicine,Emergency Medicine
The American journal of sports medicine,Orthopedic Medicine and Surgery
The American journal of sports medicine,Physical Education and Sports Medicine
The American journal of surgical pathology,Pathology
The American journal of tropical medicine and hygiene,Tropical Medicine and Parasitology
The American psychologist,Psychology
The Annals of thoracic surgery,Heart and Thoracic Surgery
The bone & joint journal,Orthopedic Medicine and Surgery
The British journal of dermatology,Dermatology
The British journal of general practice : the journal of the Royal College of and General Practitioners,Primary Health Care
The British journal of ophthalmology,Ophthalmology and Optometry
The British journal of surgery,Surgery
The European respiratory journal,Pulmonology
The international journal of behavioral nutrition and physical activity,Physical Education and Sports Medicine
The International journal of oral & maxillofacial implants,Oral and Maxillofacial Surgery
The Journal of arthroplasty,Orthopedic Medicine and Surgery
The Journal of bone and joint surgery. American volume,Orthopedic Medicine and Surgery
The Journal of bone and joint surgery. British volume,Orthopedic Medicine and Surgery
The Journal of clinical endocrinology and metabolism,Endocrinology
The journal of headache and pain,Pain and Pain Management
The Journal of heart and lung transplantation : the official publication of the and International Society for Heart Transplantation,Transplantation
The Journal of investigative dermatology,Dermatology
"The Journal of law, medicine & ethics : a journal of the American Society of Law, and Medicine & Ethics",Bioethics
"The journal of maternal-fetal & neonatal medicine : the official journal of the and European Association of Perinatal Medicine, the Federation of Asia and Oceania and Perinatal Societies, the International Society of Perinatal Obstetricians",Pregnancy and Childbirth
The Journal of pathology,Pathology
The Journal of pediatrics,Pediatric Medicine
The journal of sexual medicine,Reproductive Health
The Journal of thoracic and cardiovascular surgery,Heart and Thoracic Surgery
The journal of trauma and acute care surgery,Emergency Medicine
The Journal of urology,Urology and Nephrology
The lancet. Diabetes & endocrinology,Diabetes
The lancet. HIV,AIDS and HIV
The Lancet. Neurology,Neurology
The Lancet. Oncology,Oncology
The lancet. Psychiatry,Psychiatry
The Lancet. Public health,Public Health
The Lancet. Respiratory medicine,Pulmonology
The Laryngoscope,Otolaryngology
The New England journal of medicine,Health and Medical Sciences (general)
Transboundary and emerging diseases,Veterinary Medicine
Transplantation,Transplantation
Travel medicine and infectious disease,Tropical Medicine and Parasitology
Trends in cognitive sciences,Psychology
Ultrasound in obstetrics & gynecology : the official journal of the International and Society of Ultrasound in Obstetrics and Gynecology,Gynecology and Obstetrics
Vaccine,Virology
Viruses,Virology
Women and birth : journal of the Australian College of Midwives,Pregnancy and Childbirth
World neurosurgery,Neurosurgery
